,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
95,Non-small cell carcinoma,Adenomas and Adenocarcinomas,Bronchus and lung
96,"Neoplasm, NOS",Squamous Cell Neoplasms,Bronchus and lung
97,"Lymphoma, NOS",Squamous Cell Neoplasms,Bronchus and lung
98,"Squamous cell carcinoma, small cell, nonkeratinizing",Squamous Cell Neoplasms,Bronchus and lung
99,Not specified in data,"Adenocarcinoma, NOS","Lung, NOS"
100,Large cell neuroendocrine carcinoma,"Neoplasms, NOS",Bronchus and lung
101,Mixed type rhabdomyosarcoma,Myomatous Neoplasms,Bronchus and lung
102,Lymphangiomyomatosis,Lymphatic Vessel Tumors,Bronchus and lung
103,Poorly differentiated pulmonary adenocarcinoma,"Adenocarcinoma, NOS","Lung, NOS"
104,"Carcinoma, undifferentiated, NOS",,Bronchus and lung
