,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
166,Low grade glial neoplasm,Pleomorphic xanthoastrocytoma,"Brain, NOS"
167,Low-grade circumscribed glial/glioneuronal tumor,"Ganglioglioma, NOS","Brain, NOS"
168,Anaplastic Ependymoma,Gliomas,Brain
169,Low-cellularity glioma,"Glioma, malignant","Brain, NOS"
170,,,Brain
171,Glioma,"Glioma, malignant","Brain, NOS"
172,Glioma,Astroblastoma,"Brain, NOS"
173,Glioma,Pilocytic astrocytoma,"Brain, NOS"
174,Glioma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
175,Glioma,"Neoplasm, malignant","Brain, NOS"
176,Glioma,"Glioma, malignant",Brain stem
177,Glioma,"Astrocytoma, NOS",Brain stem
178,"Glioma, NOS",Pediatric/AYA Brain Tumors,Brain
179,Glioblastoma,Glioblastoma,Brain
180,Glioblastoma,Gliomas,Brain
181,Glioblastoma,"Glioblastoma, NOS","Brain, NOS"
182,Mixed glioma,Gliomas,Brain
183,Neuroblastoma,"Neuroblastoma, NOS",Brain
184,Neuroblastoma,"CNS embryonal tumor, NOS","Brain, NOS"
185,Ependymoma NOS,"Ependymoma, anaplastic","Brain, NOS"
186,Ependymoma NOS,"Medulloblastoma, NOS","Brain, NOS"
187,Ependymoma NOS,"Ependymoma, NOS","Brain, NOS"
188,Ependymoma NOS,"Ependymoma, NOS",Brain stem
189,Ependymoma NOS,"Medulloblastoma, NOS",Brain stem
190,Ependymoma NOS,"Ependymoma, anaplastic",Brain stem
191,Ependymoma NOS,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
192,Ependymoma NOS,"Neoplasm, uncertain whether benign or malignant",Brain stem
193,"Ependymoma, NOS",Pediatric/AYA Brain Tumors,Brain
194,Medulloblastoma,"Medulloblastoma, NOS","Brain, NOS"
195,Medulloblastoma,Miscellaneous Tumors,Brain
196,Medulloblastoma,"Medulloblastoma, NOS",Overlapping lesion of brain and central nervous system
197,Medulloblastoma,"Medulloblastoma, NOS",Brain stem
198,Medulloblastoma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
199,Medulloblastoma,Desmoplastic nodular medulloblastoma,"Brain, NOS"
200,Medulloblastoma,"Tumor cells, uncertain whether benign or malignant","Brain, NOS"
201,"Astrocytoma, NOS",Gliomas,Brain
202,Craniopharyngioma,Pediatric/AYA Brain Tumors,Brain
203,Craniopharyngioma,Craniopharyngioma,"Brain, NOS"
204,"Glioma, malignant",Pediatric/AYA Brain Tumors,Brain
205,"Ganglioglioma, NOS",Pediatric/AYA Brain Tumors,Brain
206,"Neoplasm, malignant","Neoplasms, NOS",Brain
207,"Medulloblastoma, NOS",Pediatric/AYA Brain Tumors,Brain
208,Mixed germ cell tumor,Germ Cell Neoplasms,Brain
209,Mixed germ cell tumor,Mixed germ cell tumor,"Brain, NOS"
210,Not specified in data,Pineoblastoma,"Brain, NOS"
211,Not specified in data,Mixed germ cell tumor,"Brain, NOS"
212,Not specified in data,"Neoplasm, malignant","Brain, NOS"
213,Not specified in data,"Medulloblastoma, NOS",Overlapping lesion of brain and central nervous system
214,Not specified in data,"Neoplasm, benign","Brain, NOS"
215,Not specified in data,"Glioma, malignant","Brain, NOS"
216,Not specified in data,"Astrocytoma, NOS","Brain, NOS"
217,Not specified in data,"Medulloblastoma, NOS","Brain, NOS"
218,Not specified in data,"Glioma, malignant",Overlapping lesion of brain
219,Not specified in data,Pilocytic astrocytoma,"Brain, NOS"
220,Not specified in data,"Ganglioglioma, NOS","Brain, NOS"
221,Not specified in data,Atypical teratoid/rhabdoid tumor,Brain stem
222,Not specified in data,"Medulloblastoma, NOS",Brain stem
223,Not specified in data,"Ependymoma, NOS","Brain, NOS"
224,Not specified in data,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
225,Not specified in data,"Schwannoma, NOS","Brain, NOS"
226,Not specified in data,"Craniopharyngioma, adamantinomatous","Brain, NOS"
227,Not specified in data,"Unknown, to be completed later","Brain, NOS"
228,Not specified in data,Atypical teratoid/rhabdoid tumor,"Brain, NOS"
229,Not specified in data,Pilocytic astrocytoma,Brain stem
230,Not specified in data,Atypical teratoid/rhabdoid tumor,Overlapping lesion of brain
231,Not specified in data,Dysembryoplastic neuroepithelial tumor,"Brain, NOS"
232,Not specified in data,"Choroid plexus papilloma, NOS","Brain, NOS"
233,Not specified in data,"Tumor cells, uncertain whether benign or malignant","Brain, NOS"
234,Not specified in data,"Glioma, malignant",Brain stem
235,Not specified in data,"CNS embryonal tumor, NOS","Brain, NOS"
236,Not specified in data,Craniopharyngioma,"Brain, NOS"
237,Not specified in data,"Neoplasm, uncertain whether benign or malignant",Brain stem
238,Not specified in data,"Neuroblastoma, NOS","Brain, NOS"
239,Not specified in data,Germinoma,"Brain, NOS"
240,Not specified in data,Pinealoma,"Brain, NOS"
241,Not specified in data,"Pituitary adenoma, NOS","Brain, NOS"
242,Not specified in data,Astroblastoma,"Brain, NOS"
243,Not specified in data,Central neurocytoma,"Brain, NOS"
244,Not specified in data,Malignant histiocytosis,"Brain, NOS"
245,Not specified in data,Choroid plexus carcinoma,"Brain, NOS"
246,Not specified in data,"Ependymoma, anaplastic","Brain, NOS"
247,Not specified in data,"Neoplasm, metastatic","Brain, NOS"
248,Not specified in data,"Glioblastoma, NOS",Overlapping lesion of brain and central nervous system
249,Not specified in data,Pleomorphic xanthoastrocytoma,"Brain, NOS"
250,Not specified in data,Atypical choroid plexus papilloma,"Brain, NOS"
251,Not specified in data,"Ependymoma, NOS",Brain stem
252,Not specified in data,"Astrocytoma, anaplastic","Brain, NOS"
253,Not specified in data,"Germ cell tumor, nonseminomatous","Brain, NOS"
254,Not specified in data,"Glioblastoma, NOS","Brain, NOS"
255,Not specified in data,"Neurofibromatosis, NOS","Brain, NOS"
256,Not specified in data,"Ependymoma, anaplastic",Brain stem
257,Not specified in data,"Rhabdoid tumor, NOS",Brain stem
258,Not specified in data,"Astrocytoma, NOS",Brain stem
259,Not specified in data,"Sarcoma, NOS",Overlapping lesion of brain
260,Not specified in data,Desmoplastic nodular medulloblastoma,"Brain, NOS"
261,Not specified in data,Subependymal giant cell astrocytoma,"Brain, NOS"
262,Not specified in data,"Embryonal carcinoma, NOS",Brain stem
263,Not specified in data,"Neoplasm, malignant, uncertain whether primary or metastatic","Brain, NOS"
264,Not specified in data,"Teratoma, malignant, NOS","Brain, NOS"
265,Not specified in data,"Meningioma, malignant","Brain, NOS"
266,Not specified in data,"Ependymoma, NOS",Overlapping lesion of brain and central nervous system
267,Not specified in data,"Sarcoma, NOS","Brain, NOS"
268,Not specified in data,Astroblastoma,Overlapping lesion of brain
269,Not specified in data,"Oligodendroglioma, NOS","Brain, NOS"
270,Not specified in data,Large cell medulloblastoma,"Brain, NOS"
271,Pilocytic Astrocytoma,Gliomas,Brain
272,Pilocytic Astrocytoma,"Unknown, to be completed later","Brain, NOS"
273,Pilocytic Astrocytoma,Pilocytic astrocytoma,"Brain, NOS"
274,Pilocytic Astrocytoma,Pilocytic astrocytoma,Brain stem
275,Pilocytic Astrocytoma,"Astrocytoma, NOS","Brain, NOS"
276,Pilocytic Astrocytoma,"Glioma, malignant","Brain, NOS"
277,Pilocytic Astrocytoma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
278,Pilocytic Astrocytoma,"Neoplasm, malignant","Brain, NOS"
279,"Oligodendroglioma, NOS",Gliomas,Brain
280,"Astrocytoma, anaplastic",Gliomas,Brain
281,"Oligodendroglioma, anaplastic",Gliomas,Brain
282,Atypical teratoid/rhabdoid tumor,Pediatric/AYA Brain Tumors,Brain
